PDB ID,Year,Method
4WR6,2014,X-RAY DIFFRACTION
4WRA,2014,X-RAY DIFFRACTION
4WRO,2014,X-RAY DIFFRACTION
4WSD,2014,X-RAY DIFFRACTION
4WSM,2014,X-RAY DIFFRACTION
4WT1,2014,X-RAY DIFFRACTION
4WT8,2014,X-RAY DIFFRACTION
4WU1,2014,X-RAY DIFFRACTION
4WWW,2014,X-RAY DIFFRACTION
4WZD,2014,X-RAY DIFFRACTION
4WZO,2014,X-RAY DIFFRACTION
4X62,2014,X-RAY DIFFRACTION
4X64,2014,X-RAY DIFFRACTION
4X65,2014,X-RAY DIFFRACTION
4X66,2014,X-RAY DIFFRACTION
4XEJ,2014,X-RAY DIFFRACTION
4Y4O,2015,X-RAY DIFFRACTION
4Y4P,2015,X-RAY DIFFRACTION
4YBB,2015,X-RAY DIFFRACTION
4YHH,2015,X-RAY DIFFRACTION
4YPB,2015,X-RAY DIFFRACTION
4YY3,2015,X-RAY DIFFRACTION
4YZV,2015,X-RAY DIFFRACTION
4Z3S,2015,X-RAY DIFFRACTION
4Z8C,2015,X-RAY DIFFRACTION
4ZER,2015,X-RAY DIFFRACTION
4ZSN,2015,X-RAY DIFFRACTION
5A2Q,2015,ELECTRON MICROSCOPY
5A9Z,2015,ELECTRON MICROSCOPY
5AA0,2015,ELECTRON MICROSCOPY
